"Name","Live Bytes","Live Objects"
"byte[]","1,957,792 B (30.2%)","30,731 (22.3%)"
"java.lang.String","708,816 B (10.9%)","29,534 (21.4%)"
"java.lang.Class","487,648 B (7.5%)","3,876 (2.8%)"
"int[]","326,496 B (5%)","1,256 (0.9%)"
"java.lang.Object[]","280,800 B (4.3%)","4,331 (3.1%)"
"java.util.HashMap$Node","237,184 B (3.7%)","7,412 (5.4%)"
"java.util.concurrent.ConcurrentHashMap$Node","182,784 B (2.8%)","5,712 (4.1%)"
"java.lang.reflect.Method","182,600 B (2.8%)","2,075 (1.5%)"
"java.util.HashMap$Node[]","145,784 B (2.2%)","1,232 (0.9%)"
"java.util.LinkedHashMap$Entry","97,200 B (1.5%)","2,430 (1.8%)"
"java.lang.Class[]","66,584 B (1%)","2,936 (2.1%)"
"java.lang.String[]","60,064 B (0.9%)","1,708 (1.2%)"
"char[]","57,488 B (0.9%)","248 (0.2%)"
"java.util.concurrent.ConcurrentHashMap$Node[]","57,040 B (0.9%)","143 (0.1%)"
"java.util.ImmutableCollections$List12","52,560 B (0.8%)","2,190 (1.6%)"
"java.lang.reflect.Field","49,536 B (0.8%)","688 (0.5%)"
"float[]","43,032 B (0.7%)","67 (0%)"
"java.lang.invoke.MemberName","39,360 B (0.6%)","820 (0.6%)"
"java.util.HashMap","37,680 B (0.6%)","785 (0.6%)"
"java.lang.reflect.Constructor","37,296 B (0.6%)","518 (0.4%)"
"java.util.LinkedHashMap","37,072 B (0.6%)","662 (0.5%)"
"java.lang.Class$ReflectionData","36,416 B (0.6%)","569 (0.4%)"
"jdk.jfr.AnnotationElement","34,176 B (0.5%)","1,424 (1%)"
"jdk.jfr.internal.AnnotationConstruct","32,880 B (0.5%)","1,370 (1%)"
"java.lang.ref.SoftReference","29,800 B (0.5%)","745 (0.5%)"
"java.util.concurrent.ConcurrentHashMap","29,440 B (0.5%)","460 (0.3%)"
"com.jme3.util.IntMap$Entry[]","29,296 B (0.5%)","335 (0.2%)"
"java.util.ArrayList","28,248 B (0.4%)","1,177 (0.9%)"
"java.lang.invoke.MethodType","26,040 B (0.4%)","651 (0.5%)"
"java.lang.Object","25,056 B (0.4%)","1,566 (1.1%)"
"java.lang.invoke.LambdaForm$Name","24,640 B (0.4%)","770 (0.6%)"
"jdk.jfr.ValueDescriptor","23,904 B (0.4%)","747 (0.5%)"
"java.lang.ref.SoftReference[]","23,560 B (0.4%)","310 (0.2%)"
"com.jme3.font.LetterQuad","23,328 B (0.4%)","243 (0.2%)"
"java.util.LinkedList$Node","21,288 B (0.3%)","887 (0.6%)"
"java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry","20,928 B (0.3%)","654 (0.5%)"
"org.lwjgl.opengl.GLCapabilities","18,240 B (0.3%)","1 (0%)"
"com.jme3.font.BitmapCharacter","17,864 B (0.3%)","319 (0.2%)"
"java.nio.ByteBuffer[]","16,448 B (0.3%)","4 (0%)"
"java.lang.invoke.ResolvedMethodName","15,480 B (0.2%)","645 (0.5%)"
"java.lang.reflect.Method[]","14,792 B (0.2%)","307 (0.2%)"
"jdk.jfr.internal.PlatformEventType","14,784 B (0.2%)","168 (0.1%)"
"jdk.jfr.internal.Control","14,360 B (0.2%)","359 (0.3%)"
"java.util.HashSet[]","14,360 B (0.2%)","359 (0.3%)"
"com.jme3.util.IntMap","13,400 B (0.2%)","335 (0.2%)"
"java.lang.Long","12,600 B (0.2%)","525 (0.4%)"
